food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant",,,,,0.0,,0.0,
"Boisson énergisante, sucrée",,,,,,,0.0,88.0
"Boisson énergisante, non sucrée, avec édulcorants",,,,,,,,
Boisson au jus de fruit et au lait,201.0,,201.0,,,,,
"Boisson lactée aromatisée (arôme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen)",,,,,,,,
"Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux",270.0,,271.0,,,,,
"Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D",223.0,,224.0,,,10.0,,
Lait de coco ou Crème de coco,775.0,188.0,775.0,188.0,,,,
"Boisson à l'amande, nature, non sucrée, non enrichie, préemballée",150.0,,150.0,,,,,
"Boisson à l'amande, sucrée, enrichie en calcium, préemballée",185.0,,185.0,,,,,92.0
"Boisson plate aux fruits (10 à 50% de jus), non sucrée, avec édulcorants",,,,,,,,
"Boisson au soja, nature, non enrichie, préemballée",155.0,,149.0,,,,,93.0
"Boisson au soja, nature, enrichie en calcium, préemballée",185.0,,179.0,,,,,
"Boisson au soja, aromatisée, sucrée, non enrichie, préemballée",254.0,,249.0,,,,,
"Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée",179.0,,174.0,,,,,
"Boisson au riz, nature, préemballée",227.0,,226.0,,,,1.0,
"Boisson à base d'avoine, nature, préemballée",179.0,,179.0,,,,,
"Boisson à la châtaigne, nature, préemballée",291.0,,290.0,,,,,
"Boisson à la noix de coco, nature, préemballée",131.0,,130.0,,,,,
"Boisson au soja et jus de fruits concentrés, préemballée",238.0,,238.0,,,,1.0,
"Café, non instantané, non sucré, prêt à boire",29.0,,29.0,,,,,
"Thé infusé, non sucré",,,,,0.0,0.0,,
"Tisane infusée, non sucrée",,,,,0.0,,,
"Café décaféiné, non instantané, non sucré, prêt à boire",,,,,,,,
"Café expresso, non instantané, non sucré, prêt à boire",32.0,,32.0,,,,,
"Café décaféiné, instantané, non sucré, prêt à boire",,,,,,,,
"Café, instantané, non sucré, prêt à boire",,,,,,,,
"Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",292.0,,292.0,,,,,
"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)",303.0,,303.0,,,,,
"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire",,,91.0,,,,,
"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",226.0,,227.0,,,,,87.0
"Thé noir, infusé, non sucré",,,,,0.0,,,
"Thé vert, infusé, non sucré",,,,,0.0,,0.0,
"Thé oolong, infusé, non sucré",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",388.0,,388.0,,,,,
"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)",121.0,,121.0,,,,,
"Café, moulu",1660.0,397.0,1660.0,397.0,,,,
"Café, poudre soluble",1250.0,296.0,1250.0,296.0,,,,
"Sirop à diluer, sucré",1080.0,255.0,1080.0,255.0,,,,
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""",92.0,,92.0,,,,,
"Café, décaféiné, poudre soluble",1510.0,357.0,1510.0,357.0,,76.0,,
"Thé, feuille",957.0,232.0,957.0,232.0,,,2.0,
"Cacao, non sucré, poudre soluble",1610.0,387.0,1610.0,387.0,,,,
"Poudre cacaotée ou au chocolat pour boisson, sucrée",1600.0,379.0,1600.0,379.0,,,,
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",,,,,,,,
"Chicorée et café, poudre soluble",1400.0,332.0,1400.0,332.0,,,,
"Chicorée, poudre soluble",1350.0,323.0,1350.0,323.0,,,,
"Café au lait ou cappuccino, poudre soluble",1750.0,416.0,1760.0,417.0,,,,1.0
"Café au lait ou cappuccino au chocolat, poudre soluble",1690.0,402.0,1700.0,402.0,,,,
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",1590.0,376.0,1590.0,376.0,,,,
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",1640.0,386.0,1640.0,386.0,,85.0,,2.0
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",,,,,,,0.0,
Vin doux,,,,,,,0.0,
Pétillant de fruits,,,,,0.0,,0.0,
Vin blanc mousseux,,,,,0.0,,0.0,
Champagne,,,,,,,0.0,
Vin blanc mousseux aromatisé,,,,,,,0.0,
Vin (aliment moyen),,,,,,,0.0,
Vin rouge,341.0,,341.0,,,,0.0,
Vin blanc (sec),,,,,,,0.0,
Vin rosé,,,,,0.0,,0.0,
Bière brune,,,,,,,,
"Bière ""coeur de marché"" (4-5° alcool)",,,,,,,0.0,
Bière forte (>8° alcool),,,,,,,0.0,
Cidre (aliment moyen),,,,,,,,
Cidre brut,,,,,0.0,,0.0,
Cidre doux,158.0,,158.0,,,,,
Bière faiblement alcoolisée (3° alcool),,,,,,,,
Bière blanche,143.0,,143.0,,,,,
"Bière ""spéciale"" (5-6° alcool)",,,,,,,,
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",,,,,,,0.0,
Cidre traditionnel,,,,,0.0,,0.0,
Cidre bouché demi-sec,201.0,48.0,201.0,48.0,,,,
Cidre aromatisé (framboise),149.0,,149.0,,,,,92.0
"Bière sans alcool (<1,2° alcool)",107.0,,107.0,,,,,94.0
Pastis,1140.0,274.0,1140.0,274.0,0.0,,0.0,
Eau de vie,950.0,229.0,950.0,229.0,0.0,,0.0,
Gin,1100.0,265.0,1100.0,265.0,0.0,0.0,0.0,
Liqueur,1380.0,328.0,1380.0,328.0,,,,
Rhum,1060.0,256.0,1060.0,256.0,0.0,0.0,0.0,
Whisky,1050.0,252.0,1050.0,252.0,0.0,,0.0,
Apéritif à base de vin ou vermouth,,,,,,,0.0,
Vodka,1000.0,242.0,1000.0,242.0,0.0,0.0,0.0,
"Pastis, prêt à boire (1+ 5)",117.0,,117.0,,0.0,,0.0,
Apéritif anisé sans alcool,,,,,0.0,1.0,0.0,
Alcool pur,2730.0,660.0,2730.0,660.0,0.0,0.0,0.0,
Marsala,887.0,211.0,887.0,211.0,,,0.0,
Marsala aux oeufs,640.0,153.0,640.0,153.0,0.0,,0.0,
Crème de cassis,1030.0,245.0,1030.0,245.0,0.0,41.0,0.0,
"Eau de vie de vin, type armagnac, cognac",945.0,228.0,945.0,228.0,0.0,1.0,0.0,68.0
"Eau de vie, type calvados",,,,,0.0,0.0,0.0,
Saké ou Alcool de riz,552.0,133.0,552.0,133.0,0.0,5.0,0.0,
Cocktail à base de rhum,,,,,0.0,,,65.0
Cocktail à base de whisky,,,,,0.0,,,
Sangria,,,,,0.0,,,83.0
Kir (au vin blanc),,,,,,,0.0,
Kir royal (au champagne),,,,,,,0.0,
"Cocktail type punch, 16% alcool",,,,,,,,
Cocktail sans alcool (à base de jus de fruits et de sirop),,,,,,,0.0,
Panaché (limonade et bière),152.0,,152.0,,0.0,,0.0,
Panaché préemballé (<1° alc.),107.0,,107.0,,,,,94.0
"Édulcorant à l'aspartame, en pastilles",904.0,216.0,904.0,216.0,,,0.0,
"Édulcorant à l'aspartame, en poudre",,,,,,,,
Vermicelles multicolores,,,,,,93.0,5.0,
Miel,,,,,,,0.0,
Sucre blanc,,,,,0.0,,0.0,
Sucre roux,,,,,,,0.0,
Sirop d'érable,,,,,,,,
Sucre vanillé,,,,,,99.0,,
Caramel liquide ou nappage caramel,,,,,0.0,81.0,0.0,
Édulcorant à la saccharine,,,,,,,0.0,
Mélasse de canne,,,,,0.0,,,
Sucre allégé à l'aspartame,,,,,,,0.0,
Fructose,,,,,0.0,,0.0,
Édulcorant à base d'extrait de stévia,993.0,238.0,993.0,238.0,,98.0,,
Sirop d'agave,,,,,,,,
Barre chocolatée biscuitée,2180.0,523.0,2180.0,523.0,,,,
Barre chocolatée non biscuitée enrobée,2080.0,496.0,2080.0,496.0,,,,
"Barre à la noix de coco, enrobée de chocolat",1990.0,475.0,1990.0,475.0,,,,
"Chocolat au lait, tablette",2240.0,537.0,2240.0,537.0,,,,
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",,,,,,,,
"Chocolat au lait aux céréales croustillantes, tablette",,,,,,,,
"Chocolat blanc, tablette",,,,,,,,
Barres ou confiserie chocolatées au lait,2300.0,551.0,2300.0,551.0,,,,
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",,,,,,,,
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",2020.0,487.0,2020.0,487.0,,,,
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",,,,,,48.0,,
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",2170.0,525.0,2170.0,525.0,,,,
Pâte à tartiner chocolat et noisette,,,,,,,,
Confiserie au chocolat dragéifiée,2110.0,505.0,2110.0,505.0,,65.0,,
Cacahuètes enrobées de chocolat dragéifiées,2090.0,499.0,2090.0,499.0,,,25.0,
Bouchée chocolat fourrage fruits à coques et/ou praliné,,,,,,,,
Rocher chocolat fourré praliné,,,,,,,,
"Chocolat noir aux fruits (orange, framboise, poire), tablette",,,,,,,,
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",2360.0,567.0,2360.0,567.0,,,39.0,
Barre chocolatée aux fruits secs,2060.0,494.0,2060.0,494.0,,,26.0,
Chocolat noir fourrage confiseur à la menthe,,,,,,,16.0,
Barre goûter frais au lait et chocolat,,,,,,41.0,,
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",2450.0,591.0,2450.0,591.0,,,,
Chocolat au lait fourré,,,,,,,45.0,
"Chocolat noir fourré praliné, tablette",,,,,,,,
"Chocolat au lait fourré au praliné, tablette",,,,,,,,
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",,,,,,,,
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,,,,,,,,
Barre chocolat au lait avec nougat,2220.0,532.0,2220.0,532.0,,,29.0,
Barre goûter frais au lait et chocolat avec génoise,,,,,,39.0,,
"Chocolat, en tablette (aliment moyen)",2320.0,557.0,2320.0,557.0,,,,
"Bonbons, tout type",,,,,,,,
"Chewing-gum, sucré",1580.0,372.0,1580.0,372.0,,,,3.0
Pâte de fruits,1420.0,336.0,1420.0,336.0,,,,15.0
Zeste d'orange confit,,,,,,,,16.0
Marron glacé,1370.0,324.0,1370.0,324.0,,,,
Fruit confit,1270.0,298.0,1270.0,298.0,,,,
Nougat ou touron,,,,,,,,1.0
Dragée amande,,,,,5.0,,,
Guimauve ou marshmallow,,,,,,,,
"Chewing-gum, sans sucre",955.0,228.0,955.0,228.0,,,,
Bonbon dur et sucette,,,,,,,,
Bonbon gélifié,,,,,,,,
"Bonbon au caramel, mou",,,,,,,,
Calissons d'Aix en Provence,1850.0,440.0,1850.0,440.0,,,18.0,10.0
"Guimauve ou marshmallow, enrobé de chocolat",,,,,,,,14.0
Bonbon dur au caramel,,,,,,,6.0,
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",1180.0,279.0,1180.0,279.0,,,,
"Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen)",966.0,228.0,966.0,228.0,,,,
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",1060.0,249.0,1060.0,249.0,,,,39.0
Confiture de fraise (extra ou classique),1060.0,251.0,1060.0,251.0,,,,
Confiture d'abricot (extra ou classique),1050.0,247.0,1050.0,247.0,,,,
Confiture de cerise (extra ou classique),,,,,,,,
Marmelade d'orange,1050.0,246.0,1050.0,246.0,,,,
Confiture de lait,,,,,,58.0,,
Confiture de prune (extra ou classique),,,,,,,,
Confiture de framboise (extra ou classique),,,,,,61.0,,
Confiture de myrtilles (extra ou classique),1040.0,246.0,1040.0,246.0,,,,
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),,,,,,,,
Gelée de fruits divers (extra ou classique),,,,,,,,
Gelée de groseille (extra ou classique),1050.0,246.0,1050.0,246.0,,,,
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",689.0,162.0,689.0,162.0,,38.0,,
Pain brioché ou viennois,1500.0,356.0,1480.0,352.0,,,,
Viennoiserie (aliment moyen),1590.0,380.0,1590.0,379.0,,,,
"Croissant, sans précision",1570.0,375.0,1560.0,372.0,,,20.0,
"Croissant ordinaire, artisanal",1720.0,412.0,1710.0,410.0,,,,
"Croissant au beurre, artisanal",1760.0,420.0,1750.0,418.0,,,,
"Croissant aux amandes, artisanal",1860.0,446.0,1850.0,444.0,,,,
"Pain au lait, artisanal",1600.0,382.0,1590.0,379.0,,,,
"Pain au lait, préemballé",1510.0,359.0,1510.0,359.0,,,,
"Pain au lait aux pépites de chocolat, préemballé",1550.0,369.0,1550.0,369.0,,52.0,,
Pain aux raisins (viennoiserie),1400.0,333.0,1390.0,331.0,,,9.0,
"Pain au chocolat feuilleté, artisanal",1770.0,423.0,1760.0,421.0,,,,20.0
"Pain au chocolat, préemballé",1780.0,425.0,1770.0,423.0,,,,19.0
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",1460.0,348.0,1460.0,348.0,,,,24.0
Brioche fourrée au chocolat,1480.0,351.0,1480.0,351.0,,,,
"Brioche fourrée aux fruits, préemballée",1450.0,346.0,1450.0,346.0,,,,
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",1270.0,300.0,1270.0,300.0,,,,
"Brioche, préemballée",1490.0,354.0,1490.0,354.0,,,,
"Brioche, sans précision",1680.0,401.0,1680.0,401.0,,46.0,,
"Brioche, de boulangerie traditionnelle",1570.0,374.0,1570.0,374.0,,,,
"Couronne de Noël (Brioche) aux fruits confits, préemballée",1490.0,355.0,1490.0,355.0,,,,25.0
"Brioche pur beurre, préemballée",1540.0,366.0,1540.0,366.0,8.0,,14.0,24.0
Chouquette,1590.0,381.0,1590.0,381.0,,,,
Chausson aux pommes,1410.0,338.0,1410.0,338.0,,,,
"Tartine craquante, extrudée et grillée, fourrée au chocolat",,,,,,,16.0,
"Tartine craquante, extrudée et grillée, fourrée aux fruits",,,,,,,,
Macaron sec,,,,,,,,
"Biscuit sec, sans précision",,,,,,65.0,,
Biscuit sec nature,,,,,,70.0,,
Biscuit sec à teneur garantie en vitamines,,,,,,,,
Biscuit sec à teneur garantie en vitamines et minéraux,,,,,,,,
"Biscuit sec aux fruits, hyposodé",,,,,,,,5.0
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",,,,,,,,
"Biscuit sec croquant au chocolat, allégé en matière grasse",,,,,7.0,69.0,11.0,
"Biscuit sec fourré aux fruits, allégé en matière grasse",,,,,,,,
Spéculoos,,,,,,69.0,,
"Biscuit sec, avec matière grasse végétale",,,,,,,,
"Biscuit sec, petits fours en assortiment",,,,,,,,
Biscuit sec petit beurre,,,,,,,,
Biscuit sec avec tablette de chocolat,,,,,,,,
Biscuit sec petit beurre au chocolat,,,,,,,16.0,
Biscuit sec au lait,,,,,,,,
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",,,,,,,,
Biscuit sec pour petit déjeuner,,,,,,,,
"Biscuit sec pour petit déjeuner, allégé en sucres",,,,,,,16.0,
"Biscuit sec chocolaté, préemballé",,,,,,,,
Biscuit sec fourré à la pâte ou purée de fruits,,,,,,,,
Biscuit sec avec nappage chocolat,,,,,,,25.0,
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",,,,,,,,
"Biscuit sec pour petit déjeuner, au chocolat",,,,,,,,
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",1870.0,445.0,1870.0,445.0,,,,
"Biscuit sec au beurre, sablé, galette ou palet",,,,,,,,
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",,,,,,61.0,,
"Biscuit sec chocolaté, type barquette",,,,,,,,
"Biscuit sec chocolaté, type tartelette",,,,,,,,
"Biscuit sec chocolaté, type galette",,,,,,,,
"Biscuit sec, sablé, galette ou palet, aux fruits",,,,,,,,
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),2140.0,511.0,2140.0,511.0,,,,
Florentin (biscuit sec sucré chocolaté aux amandes),2150.0,514.0,2150.0,514.0,,,,2.0
Biscuit pâtissier meringué,,,,,,56.0,,
Sablé à la noix de coco,,,,,,,,
"Sablé pâtissier, artisanal",,,,,,,,5.0
"Sablé aux fruits (pomme, fruits rouges, etc.)",,,,,,66.0,,
"Sablé au cacao ou chocolat, au praliné ou autre",,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum chocolat",,,,,,,18.0,
"Goûter sec fourré (""sandwiché"") parfum fruits",,,,,,,,
Gaufrette ou éventail sans fourrage,,,,,9.0,,8.0,
"Gaufrette fourrée chocolat, préemballée",,,,,,,,
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",,,,,,,,
"Gaufrette, fourrée vanille, préemballée",2250.0,538.0,2250.0,538.0,,,,
"Gaufrette fourrée, aux fruits",,,,,,,,
Cigarette,,,,,,63.0,,
Crêpe dentelle,,,,,,,,
"Crêpe dentelle au chocolat, préemballée",,,,,,,,
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,,,,,,,,
Biscuit sec type langue de chat ou cigarette russe,,,,,,,,
Meringue,,,,,,,,
"Biscuit sec ou tuile, aux amandes",1980.0,471.0,1980.0,471.0,,68.0,,
"Biscuit sec type tuile, aux fruits",1610.0,384.0,1610.0,384.0,,,,
"Biscuit sec feuilleté, type palmier ou autres",,,,,,,,
"Palmier, artisanal",,,,,,,,
"Biscuit sec (génoise) nappage aux fruits, type barquette",1440.0,341.0,1440.0,341.0,,,,
"Biscuit sec nappé aux fruits, tartelette",,,,,,,,
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,,,,,,,
Cookie aux pépites de chocolat,,,,,,59.0,,
"Cône ou cornet classique, pour glace",,,,,,,5.0,
Génoise sèche fourrée aux fruits et nappée de chocolat,,,,,,,,
Biscuit sec pauvre en glucides,,,,,,,,
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",1660.0,391.0,1660.0,391.0,8.0,,,1.0
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",1720.0,408.0,1720.0,408.0,,,,
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",1510.0,360.0,1510.0,360.0,,,,
Céréales pour petit déjeuner (aliment moyen),1680.0,398.0,1680.0,398.0,,,,
Muesli (aliment moyen),1760.0,418.0,1760.0,418.0,,,,
"Pétales de maïs natures, enrichis en vitamines et minéraux",1600.0,377.0,1600.0,377.0,,,,
"Riz soufflé nature, enrichi en vitamines et minéraux",1660.0,391.0,1660.0,390.0,,87.0,,
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",1630.0,386.0,1610.0,383.0,,64.0,,
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",1640.0,388.0,1640.0,388.0,,,,
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),1640.0,388.0,1640.0,388.0,,,,
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),1640.0,388.0,1640.0,387.0,,,,
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",1630.0,386.0,1630.0,386.0,,,,
Pétales de maïs natures (non enrichis en vitamines et minéraux),1610.0,380.0,1610.0,380.0,,,,
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",1820.0,433.0,1820.0,433.0,,,13.0,
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,1860.0,442.0,1860.0,442.0,,,,
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",1760.0,419.0,1760.0,419.0,,,,
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",1620.0,382.0,1620.0,382.0,,,,
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",1660.0,394.0,1660.0,394.0,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",1600.0,378.0,1600.0,378.0,,,,3.0
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",1670.0,394.0,1650.0,391.0,,,,
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",1730.0,411.0,1730.0,411.0,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",1600.0,378.0,1600.0,378.0,,,,
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",1610.0,379.0,1610.0,379.0,,79.0,,
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",1690.0,401.0,1690.0,401.0,,75.0,,
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",1640.0,388.0,1640.0,388.0,,,,
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),1610.0,379.0,1610.0,379.0,,88.0,,
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",1830.0,436.0,1830.0,436.0,,,,
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),1850.0,442.0,1850.0,442.0,,,,
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",1520.0,361.0,1520.0,361.0,,,5.0,
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",1930.0,460.0,1930.0,460.0,,,,
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",1890.0,451.0,1890.0,451.0,,,,3.0
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",1680.0,400.0,1680.0,400.0,,,11.0,
"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",1630.0,385.0,1630.0,385.0,,,,
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",1420.0,338.0,1420.0,338.0,14.0,49.0,,3.0
"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",1590.0,374.0,1590.0,374.0,,,,
"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",1630.0,386.0,1630.0,386.0,,,,5.0
Muesli floconneux ou de type traditionnel,1610.0,382.0,1610.0,382.0,,,,
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),1670.0,393.0,1670.0,393.0,,,,
Blé khorasan complet soufflé,1600.0,378.0,1590.0,375.0,,,,
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",1650.0,390.0,1650.0,390.0,,,,
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",1630.0,384.0,1630.0,384.0,,,,3.0
"Céréales complètes soufflées, enrichies en vitamines et minéraux",1630.0,385.0,1620.0,383.0,,,,
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",1660.0,392.0,1660.0,392.0,,,,3.0
"Muesli croustillant, au quinoa",,,,,,,,
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),1560.0,369.0,1560.0,369.0,,,,
Muesli enrichi en vitamines et minéraux (aliment moyen),1780.0,424.0,1780.0,424.0,,,,
Flocon d'avoine précuit,1560.0,370.0,1540.0,366.0,11.0,58.0,,11.0
Muesli non enrichi en vitamines et minéraux (aliment moyen),1690.0,401.0,1690.0,401.0,,,,
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",1620.0,382.0,1620.0,382.0,,,,
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",1600.0,379.0,1600.0,379.0,,,,
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",1760.0,418.0,1760.0,418.0,,,,
Barre céréalière diététique hypocalorique,1620.0,386.0,1620.0,386.0,,,,
Barre céréalière chocolatée,1890.0,451.0,1890.0,451.0,,73.0,,
Barre céréalière aux fruits,1590.0,377.0,1590.0,377.0,,,,
Barre céréalière aux amandes ou noisettes,1860.0,444.0,1860.0,444.0,,,,
Barre céréalière chocolatée aux fruits,,,,,,,,
"Baba au rhum, préemballé",708.0,169.0,708.0,169.0,,,,
Gâteau (aliment moyen),,,,,,,,
Gâteau Paris-Brest (pâte à choux crème mousseline praliné),,,,,,,,
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises)",,,,,,,19.0,
"Gâteau mousse de fruits sur génoise, type miroir, bavarois",,,,,,,,
Entremets type Opéra,,,,,,,24.0,
Fraisier ou framboisier,,,,,,,,
Baba au rhum,,,,,,,,
Canelé,,,,,,,,
Macaron moelleux fourré à la confiture ou à la crème,,,,,10.0,,,
Bûche de Noël pâtissière,,,,,,,,
"Brownie au chocolat, préemballé",1910.0,458.0,1910.0,458.0,,,,
Rocher coco ou Congolais (petit gâteau à la noix de coco),,,,,,,,
Biscuit de Savoie,,,,,,,,
"Quatre-quarts, fabrication artisanale",,,,,,46.0,,
"Quatre-quarts, préemballé",,,,,,,,
"Barre pâtissière, préemballé",,,,,,,,
"Gâteau au citron, tout type",,,,,5.0,54.0,,
Far aux pruneaux,,,,,,32.0,8.0,50.0
Kouign Amann,,,,,,,,17.0
Pain d'épices,,,,,,,,
Pain d'épices fourré ou nonette,,,,,4.0,76.0,,
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),,,,,,,,
Corne de gazelle (pâtisserie orientale aux amandes et sirop),,,,,,,,
Chou à la crème (chantilly ou pâtissière),,,,,,,,
"Chou à la crème chantilly, Saint-honoré",,,,,,,,
Chou à la crème pâtissière,,,,,,,,
Éclair,,,,,,,,
Tarte aux fruits et crème pâtissière,,,,,,30.0,,
"Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados)",1310.0,313.0,1310.0,313.0,,,15.0,
Tarte au citron,,,,,5.0,,,
Tarte ou tartelette aux pommes,,,,,,,,
Tarte aux fraises,,,,,,31.0,,
Crumble aux pommes,,,,,,,,
Tarte aux abricots,,,,,,41.0,,
Tarte aux fruits rouges,,,,,,,,
Tarte Tatin aux pommes,,,,,,,,50.0
"Tarte au chocolat, fabrication artisanale",,,,,,,,
Tarte ou tartelette aux fruits,,,,,,,,
Flan pâtissier aux oeufs ou à la parisienne,,,,,,,,
Charlotte aux fruits,,,,,,,,
Gâteau au chocolat,,,,,,,,
"Gâteau moelleux au chocolat, préemballé",,,,,,,24.0,
Gâteau au yaourt,,,,,,,,
Gâteau au fromage blanc,,,,,,27.0,,
Gâteau moelleux nature type génoise,,,,,,,,20.0
Galette des rois feuilletée,,,,,5.0,,,
"Galette des rois feuilletée, fourrée frangipane, et Pithiviers",,,,,,,30.0,
"Crêpe, nature, préemballée, rayon frais",,,,,,40.0,,42.0
"Crêpe, nature, préemballée, rayon température ambiante",,,,,,,,
"Galette de sarrasin, nature, préemballée",,,,,,,,59.0
"Gâteau basque, crème pâtissière",,,,,,,,
"Gâteau basque, cerises",,,,,,,,
"Crêpe fourrée au sucre, préemballée",,,,,,,,
